OBJECTID,NOMBRE,DIRECCION,SUPERFICIE,PROPIEDAD_TERRENO,DETALLE_PROPIEDAD,ROL,USO_AREA_VERDE,DETALLE_USO_AREA_VERDE,AGNO_APERTURA,COSTO_CONSTRUCCION,FUENTE_FINANCIAMIENTO,DETALLE_FUENTE_FINANCIAMIENTO,ADMINISTRACION,DETALLE_ADMINISTRACION,COSTO_ANUAL_MANTENCION,SUMINISTRO_RIEGO,DETALLE_RIEGO,CONEXION_RED_AGUA,BAÑOS_ASISTENTES,BAÑOS_TRABAJADORES,NIVEL_CONSOLIDACION,TIPO_ACCESO_PUBLICO,COSTO_INGRESO,JUEGOS_INFANTILES,CANCHA_FUTBOL,MULTICANCHA,MAQUINAS_EJERCICIOS,ZONA_PICNIC,OTROS_EQUIPAMIENTOS,ESTACIONAMIENTOS_DISCAPACITADOS,BAÑO_DISCAPACITADOS,RUTA_ACCESIBLE,JUEGOS_ACCESIBLES,OBSERVACIONES,Capa,Programa,COM,REGION,PROVINCIA,Shape_Length,Shape_Area
660,PARQUE FLUVIAL RENATO POBLETE,AVENIDA COSTANERA SUR,124971.07283435,Fiscal, , ,Sí, ,2015,0,MOP, ,PARQUE METROPOLITANO DE SANTIAGO, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,,Sí,Sí,SI,Sí,Sí,Sí,Sí, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13126,13,131,0.0187316389582397,1.21176366500806e-05
661,PLAZA GARIN,ENTRE CALLE PADRE LORENZO EITING Y CALLE JANAQUEO,9284.28680763,B.N.U.P., , ,Sí, ,0,0, , ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,NO,No,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13126,13,131,0.00367695786490335,9.00264324144983e-07
662,PLAZA CASONA DOBOIS, ,6006.17517925,MUNICIPAL,MUNICIPALIDAD DE QUINTA NORMAL, ,No,MIXTA,0,0, , ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,SI,No,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13126,13,131,0.00325137701810866,5.82395368243686e-07
663,PLAZA LO BESA,CALLE GASPAR TORO ENTRE CALLE TRANSITO Y CALLE VICUÑA ROZAS,15296.42555997,B.N.U.P., , ,Sí, ,0,0, , ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No,SI,No,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13126,13,131,0.00486032894363594,1.48335657671968e-06
664,PARQUE SALVADOR ALLENDE,AVENIDA ZAPADORES INTERSECTA CON HUBER BENÍTEZ,13072.65653099, , ,No hay registro,Sí, ,0,0,OTRO,No hay registro,MUNICIPAL, ,29225400, , ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No, ,No,NO,No, , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13127,13,131,0.00650647002045445,1.26704949624665e-06
665,PLAZA QUINTA BELLA II,PASAJE PARQUE CENTRAL,9199.43866137,,NO HAY REGISTRO,No hay registro,Sí, ,0,0,OTRO,No hay registro,MUNICIPAL, ,26409400,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,NO,No, , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13127,13,131,0.00901755427669501,8.91819591165894e-07
666,PARQUE BICENTENARIO DE LA INFANCIA,AVENIDA PERÚ 1001-1091,33954.83845338,OTRO,Parque Metropolitano,1000-001,Sí, ,2009,0,OTRO,No hay registro,PARQUE METROPOLITANO DE SANTIAGO, ,0,,No hay registro,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,CAFETERÍA,No, , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13127,13,131,0.00951688778733326,3.29231777160935e-06
667,PLAZA JUAN PABLO II,AVENIDA SANTA MARÍA 41,12377.51581662,,NO HAY REGISTRO,0079-001,Sí, ,0,0,OTRO,No hay registro,MUNICIPAL, ,28625700,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,NO,No, , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13127,13,131,0.00706247368577628,1.20033867158721e-06
668,PARQUE DE LA MUJER A,AVENIDA DORSAL INTERSECTA CON CALLE EL GUANACO,8803.64158269,,NO HAY REGISTRO,No hay registro,Sí, ,0,0,OTRO,No hay registro,MUNICIPAL, ,29845200,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,NO,No, , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13127,13,131,0.00788970805671341,8.5336912407744e-07
669,PARQUE SANTA MÓNICA,CALLE MONTANA 3806,46614.90595069,SERVIU, ,6001-001,Sí, ,0,0,OTRO,No hay registro,PARQUE METROPOLITANO DE SANTIAGO, ,0,POZO, ,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No, ,No, , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13127,13,131,0.00846419373126967,4.5181750010356e-06
670,PLAZA LOS HISTORIADORES, ,5883.86825374, , ,No hay registro, , ,0,0,OTRO,No hay registro, , ,0, , , , , ,REGULAR CONSOLIDACION,GRATUITO,0,,No, , ,No, ,No, , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13127,13,131,0.00309299114654857,5.70584502379711e-07
671,PLAZA QUINTA BELLA I,PASAJE PARQUE CENTRAL,6214.80860039,,NO HAY REGISTRO,No hay registro,Sí, ,0,0,OTRO,No hay registro,MUNICIPAL, ,17398752,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,NO,No, , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13127,13,131,0.0055236387317908,6.0248515461196e-07
672,PARQUE GABRIEL PALMA, ,5917.57256827, , ,No hay registro, , ,0,0,OTRO,No hay registro, , ,0, , , , , ,CONSOLIDADO,GRATUITO,0,,No, , ,No, ,No, , , , ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13127,13,131,0.00352225881327362,5.7366134014766e-07
673,PARQUE ISABEL RIQUELME II,SIERRA BELLA 2816,40458.99401932,MIXTO,"FISCAL, SERVIU, MUNICIPAL","1010-3, 1010-4, 1010-5, 1010-6",Sí, ,1971,0, , ,MUNICIPAL, ,106598397,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,Sí,"CANCHAS TENIS, PISCINA",No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13129,13,131,0.00802658409377524,3.92580742233687e-06
674,PARQUE ISABEL RIQUELME I,SIERRA BELLA/AV I RIQUELME/AV ALC C VALDOVINOS,32917.23561363,MIXTO,"FISCAL, SERVIU, MUNICIPAL",1016-1,Sí, ,1971,0, , ,MUNICIPAL, ,86292268,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,CONSTRUIDOS,REGULAR CONSOLIDACION,GRATUITO,0,Sí,No,No,No,Sí, ,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13129,13,131,0.00713067081898809,3.19398924324946e-06
675,O'HIGGINS,RENGO/ TUCAPEL/ GRAL KORNER/ LUIS BARROS BORGOÑO,5578.38743644,0,0,0,0,0,0,0,0,0,MUNICIPAL,0,0,OTRO,SIN INFORMACIÓN,0,,,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No,SI,No,No,No,No,0,Catastro Nacional de Parques Urbanos,Parques Urbanos,13105,13,131,0.00299066853846437,5.41670083076384e-07
676,E.T.C.,PARAISO/ UNIVERSO/ AV. SUR/ AVIADORES,7339.33536515,0,0,0,0,0,0,0,0,0,MUNICIPAL,0,0,OTRO,SIN INFORMACIÓN,0,,,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No,0,Catastro Nacional de Parques Urbanos,Parques Urbanos,13105,13,131,0.00387516322361199,7.1270178003242e-07
677,PARAISO,PARAISO/ UNIVERSO/ ALEJANDRO GUZMAN/ AV. SUR,5814.18901957,0,0,0,0,0,0,0,0,0,MUNICIPAL,0,0,OTRO,SIN INFORMACIÓN,0,,,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No,SI,No,No,No,No,0,Catastro Nacional de Parques Urbanos,Parques Urbanos,13105,13,131,0.00327690974566873,5.64606657422988e-07
678,SOL DEL PACIFICO,SOL DEL PACIFICO/ MAR DE CHILE/ ALEJANDRO GUZMAN/ AV. SUR,8509.73657736,0,0,0,0,0,0,0,0,0,MUNICIPAL,0,0,OTRO,SIN INFORMACIÓN,0,,,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No,0,Catastro Nacional de Parques Urbanos,Parques Urbanos,13105,13,131,0.0044397581047623,8.26376084075485e-07
679,LO LILLO,ALEJANDRO GUZMAN/ ELEUTERIO RAMIREZ/ JAVIERA CARRERA,13699.32792955,0,0,0,0,0,0,0,0,0,MUNICIPAL,0,0,OTRO,SIN INFORMACIÓN,0,,,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,SI,No,No,No,SI,0,Catastro Nacional de Parques Urbanos,Parques Urbanos,13105,13,131,0.00478312591676734,1.33035006043786e-06
680,"PARQUE DE LOS REYES, SECTOR 3",ENTRE PUENTE PADRE HURTADO Y CALLE LIBERTAD,62635.81941584,B.N.U.P.,ILUSTRE MUNICIPALIDAD DE SANTIAGO,No hay registro,Sí,,1991,0,,,MUNICIPAL,,567608366,MIXTO,"MAP, Pozo",Sí,NO HAY,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,Sí,No,"SILOS,ALTAR, SKATEPARK",Sí,No,Sí,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13126,13,131,0.010670495168054,6.07357297450189e-06
681,"PARQUE DE LOS REYES, SECTOR 2",ENTRE PUENTE PADRE HURTADO Y CALLE LIBERTAD,139697.63500633,B.N.U.P.,ILUSTRE MUNICIPALIDAD DE SANTIAGO,No hay registro,Sí,,1991,0,,,MUNICIPAL,,567608366,MIXTO,"MAP, Pozo",Sí,NO HAY,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,Sí,No,"SILOS,ALTAR, SKATEPARK",Sí,No,Sí,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13101,13,131,0.0239649525184848,1.35464273868572e-05
682,"PARQUE FORESTAL, SECTOR 4",ENTRE CALLE PIO NONO Y CALLE ENRIQUE MAC-IVER,11460.30181322,B.N.U.P.,ILUSTRE MUNICIPALIDAD DE SANTIAGO,No hay registro,Sí,,1902,0,,,MUNICIPAL,,567608366,MEDIDOR AGUA POTABLE,,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,,No,No,Sí,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13101,13,131,0.00630483748703737,1.11138927812085e-06
683,"PARQUE FORESTAL, SECTOR 3",ENTRE CALLE PIO NONO Y CALLE ENRIQUE MAC-IVER,26230.34131895,B.N.U.P.,ILUSTRE MUNICIPALIDAD DE SANTIAGO,No hay registro,Sí,,1902,0,,,MUNICIPAL,,567608366,MEDIDOR AGUA POTABLE,,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,,No,No,Sí,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13101,13,131,0.00748961066298764,2.54376370611103e-06
684,"PARQUE FORESTAL, SECTOR 2",ENTRE CALLE PIO NONO Y CALLE ENRIQUE MAC-IVER,49908.99602121,B.N.U.P.,ILUSTRE MUNICIPALIDAD DE SANTIAGO,No hay registro,Sí,,1902,0,,,MUNICIPAL,,567608366,MEDIDOR AGUA POTABLE,,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,,No,No,Sí,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13101,13,131,0.0101932927486492,4.84015020712962e-06
685,"PARQUE FORESTAL, SECTOR 1",ENTRE CALLE PIO NONO Y CALLE ENRIQUE MAC-IVER,27067.35988665,B.N.U.P.,ILUSTRE MUNICIPALIDAD DE SANTIAGO,No hay registro,Sí,,1902,0,,,MUNICIPAL,,567608366,MEDIDOR AGUA POTABLE,,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,,No,No,Sí,No,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13101,13,131,0.0086944324152114,2.62499628149693e-06
686,PARQUE O'HIGGINS,AVENIDA VIEL 1100,527568.82433172,B.N.U.P.,ILUSTRE MUNICIPALIDAD DE SANTIAGO,No hay registro,Sí,,1873,0,,,MUNICIPAL,,1102798704,MIXTO,"Pozo, MAP, Aljibe,Canal",Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,Sí,Sí,"MUSEO,PISCINA,LAGUNA,CANCHA DE TENIS,BASQUET,SKATE",No,No,Sí,Sí,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13101,13,131,0.0493087191303461,5.11794621010804e-05
687,PARQUE CERRO SANTA LUCIA,AVENIDA ALAMEDA LIBERTADOR BERNARDO O'HIGGINS 482,65764.00071153,B.N.U.P.,ILUSTRE MUNICIPALIDAD DE SANTIAGO,17-1,Sí,,1872,0,,,MUNICIPAL,,224499600,MEDIDOR AGUA POTABLE,,Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,"TERRAZ,CASTILL,CAÑ",No,No,Sí,No,PARQUE CON CIERRE PERIMETRAL,Catastro Nacional de Parques Urbanos,Parques Urbanos,13101,13,131,0.0108864452848764,6.37803453780035e-06
688,PARQUE SAN BORJA,ENTRE CALLE CARABINEROS DE CHILE Y CALLE MARCOLETA,23778.22659573,B.N.U.P.,ILUSTRE MUNICIPALIDAD DE SANTIAGO,No hay registro,Sí,,1992,0,,,MUNICIPAL,,125061480,MIXTO,"MAP,Aljibe",Sí,CONSTRUIDOS,CONSTRUIDOS,CONSOLIDADO,GRATUITO,0,Sí,Sí,Sí,Sí,No,"ODEON CENTRAL,PISTA DE PATINAJE",No,No,Sí,Sí,PARQUE CON CIERRE PERIMETRAL,Catastro Nacional de Parques Urbanos,Parques Urbanos,13101,13,131,0.00630846332340777,2.30611533071681e-06
689,PARQUE EDUARDO FREI,AV. LA FLORIDA ENTRE DEPARTAMENTAL Y VIÑA DEL MAR,21426.90627437, ,, , , ,0,0, , ,MUNICIPAL, ,0,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,Sí, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00831034397803762,2.07983070225865e-06
690,PARQUE LAS TINAJAS,LAS TINAJAS CON LAS PERDICES,10010.32659461,,NO HAY REGISTRO, , , ,0,0, , ,MUNICIPAL, ,30837228,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,No,No,No,No,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00972775878902848,9.71977561050423e-07
691,PLAZA JARDÍN ANDINO,JARDÍN ALTO / ROJAS MAGALLANES / NEGRILLO / ALPACA,5224.36408674,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,16265568,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00360428435513146,5.07264134410182e-07
692,PARQUE LA SUPERIORA,ALTO MACUL / SANTA SOFÍA / CAMINO DEL CONVENTO / CAMINO DE LA SUPERIORA,10376.44611938,,NO HAY REGISTRO, , , ,0,0, , ,MUNICIPAL, ,28939680,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00838346405225542,1.00726725509125e-06
693,PARQUE MACALTO 1,CAMINO DEL CONVENTO / SANTA SOFÍA / CAMINO DEL MONTE,12655.1946209,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,31754520,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00637668300415675,1.22852358086741e-06
694,PARQUE MACALTO 2,CANAL LAS PERDICES / CAMINO DEL MONTE / CAMINO DEL CONVENTO,15319.07738581,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,38089800,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00760897156964123,1.48710568273371e-06
695,PARQUE DEL SANTUARIO,CAMINO DEL HÁBITO / CAMINO DEL SANTUARIO / CANAL LAS PERDICES,24533.03805653,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,47741400,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.0100728965258333,2.38160165559896e-06
696,PLAZA DE LOS ARTESANOS,MARÍA ANGÉLICA / LAS PERDICES / MARÍA CRISTINA,5873.22612805,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,15959160,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00307756603947403,5.70125284226062e-07
697,PARQUE PARAÍSO,NAZARIO CHACÓN ZAMORA / EL CANLEO / CENTRAL,13356.59596557,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,30103920,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,Sí,No,Sí,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00498697174026988,1.29660272138864e-06
698,PARQUE ZANJÓN DE LA AGUADA,TOBALABA / VOLCÁN OSORNO / ZANJÓN DE LA AGUADA,16906.26776853,OTRO,Servidumbre, ,No,Infraestructura de abastecimiento / Vialidad,0,0, , ,MUNICIPAL, ,22717800,CAMION ALJIBE,,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.0122479580864782,1.64114656824616e-06
699,PARQUE QUEBRADA DE MACUL,MARÍA ANGÉLICA / LAS PERDICES,12539.82021294,MIXTO,Privado SERVIU, , , ,0,0, , ,MUNICIPAL, ,32855760,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00544022768466123,1.21725843855322e-06
700,PADRE HURTADO,VOLCÁN CALBUCO / VOLCÁN APAGADO / LAS HIGUERAS,6652.23960074,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,14240520,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00439758942029377,6.45733668175285e-07
701,PARQUE NUEVA MARÍA ANGÉLICA,NVA. MARÍA ANGÉLICA / ALTO MACUL,17312.44162648,,NO HAY REGISTRO, , , ,0,0, , ,MUNICIPAL, ,47519640,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.025332421917955,1.68049309562621e-06
702,LAS GARDENIAS,LOS CLARINES / LAS GARDENIAS / LAS MADRESELVAS,6427.88697323,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,18018000,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,No,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.0043279279179825,6.24148880477221e-07
703,PARQUE MÓNACO,SANTA AMALIA / MÓNACO,6546.53986866,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,14580720,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,Sí,No,SI,No,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00355077900630941,6.35674741184331e-07
704,LOS AROMOS,LOS JAZMINES / LOS TULIPANES / LAS MAGNOLIAS / LAS MARGARITAS,5504.12997226,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,14003640,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00286995460724937,5.34551862917124e-07
705,LOS COPIHUES 2,LOS CANELOS / LOS COPIHUES / CONHA Y TORO / AINAVILLO,6965.94532173,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,15523200,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00455318660375879,6.76551380216698e-07
706,LOS COPIHUES 3,LONCOMILLA / TUCAPEL / LOS COPIHUES / LEUCOTON,6005.42968491,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,13406400,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00389960372894735,5.83266051076619e-07
707,PARQUE ÁRIDOS,MARÍA ELENA / MESANA,10735.45458973,,,"12350-88, 12350-25",Sí,AV5 / R-3,0,0, , ,MUNICIPAL, ,15881040,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,No,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00530015255748622,1.04264945018135e-06
708,PARQUE IGNACIO CARRERA PINTO,EL PARQUE ENTRE LLEU LLEU Y LAS PATAGUAS,7807.28828214,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,22722168,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00451797198765402,7.5784380451465e-07
709,PARQUE  POZO ALMONTE,POZO ALMONTE / AGUADA DE NEGREIROS / HUARA,5451.66501568,B.N.U.P,, , , ,0,0, , ,MUNICIPAL, ,13460112,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00478603695276738,5.29211668344785e-07
710,CERRO ALONSO DE ERCILLA,ALONSO DE ERCILLA / FUKUSHIMA / SAN ESTEBAN,6749.90365045,SERVIU,Reserva SERVIU, , , ,0,0, , ,MUNICIPAL, ,14174136,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No,SI,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00326900245577535,6.55255959505153e-07
711,LIRCAY,ROJAS MAGALLANES / LIRCAY,5107.5955096,OTRO,B.N.U.P / EQUIP 889-16, ,Sí,E-AB4 / U-Vev3,0,0, , ,MUNICIPAL, ,12925860,OTRO,SIN INFORMACIÓN,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,Sí,No,Sí,No,SI,No,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13110,13,131,0.00282933544824102,4.95901988721372e-07
712,PARQUE REPUBLICA DEL BRASIL,CALLE MAÑIO 6410,490128.69870337,SERVIU,"MUNICIPALIDAD,CARABINEROS FUNDACION,TIEMPOS NUEVOS",8957-001,Sí, ,0,0, , ,OTRO,"MUNICIPALIDAD,CARABINEROS,FUNDACION TIEMPOS NUEVOS",390000000,MEDIDOR AGUA POTABLE, ,Sí,CONSTRUIDOS,CONSTRUIDOS,REGULAR CONSOLIDACION,PAGADO,1000,Sí,Sí,Sí,No,Sí,MUSEO INTERACTIVO MIRADOR (MIM),Sí,Sí,No,No,"CANCHA DE TENIS,BASQUETBOL,HOCKEY Y PATINAJE ARTISTICO",Catastro Nacional de Parques Urbanos,Parques Urbanos,13111,13,131,0.0275932383220934,4.75781759486409e-05
713,PARQUE AV. ESTADIO,CALLE ESTADIO ENTRE CALLE SEBASTOPOL Y AV. LO OVALLE,11565.48651735,B.N.U.P.,MUNICIPALIDAD, ,Sí, ,0,0, , ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,No,Sí,No, ,No,No,No,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13111,13,131,0.00815207107074065,1.12262605020151e-06
714,PLAZA JUAN PABLO II,CALLE PADRE ESTEBAN GUMUCIO Y AV. CARD. RAÚL SILVA HENRIQUEZ,6871.85815428,B.N.U.P.,MUNICIPALIDAD, ,Sí, ,0,0, , ,MUNICIPAL, ,0,MEDIDOR AGUA POTABLE, ,Sí,NO HAY,NO HAY,CONSOLIDADO,GRATUITO,0,Sí,No,Sí,No,No,SKATE,No,No,Sí,No, ,Catastro Nacional de Parques Urbanos,Parques Urbanos,13111,13,131,0.00330219259025499,6.67072776765415e-07
715,PARQUE PIERRE DUBOIS,SALESIANOS,105501.62584525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catastro Nacional de Parques Urbanos,Parques Urbanos,13121,13,131,0.0131517486205553,1.02372837015878e-05
